file,time,direction,idx,hex,len,kind,cmd,section_id,section,band_zero,band,freq_hz,q,type_sign,eq_type,gain_db,target,checksum_ok,payload
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:09,Down,43,AA 09 03 05 00 8F 00 05 10 43 00 08,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.7,0.0,True,
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:09,Down,55,AA 09 03 05 00 8F 00 05 10 42 00 09,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.6,0.0,True,
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:09,Down,63,AA 09 03 05 00 8F 00 05 10 41 00 0A,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.5,0.0,True,
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:09,Down,71,AA 09 03 05 00 8F 00 05 10 40 00 0B,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.4,0.0,True,
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:09,Down,83,AA 09 03 05 00 8F 00 05 10 3E 00 0D,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.2,0.0,True,
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:09,Down,91,AA 09 03 05 00 8F 00 05 10 3D 00 0E,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.1,0.0,True,
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:10,Down,99,AA 09 03 05 00 8F 00 05 10 3C 00 0F,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.0,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:18,Down,27,AA 09 03 03 00 50 00 06 10 D1 00 BA,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.9,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:18,Down,35,AA 09 03 03 00 50 00 06 10 D0 00 BB,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.8,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:18,Down,43,AA 09 03 03 00 50 00 06 10 CF 00 BC,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.7,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:18,Down,51,AA 09 03 03 00 50 00 06 10 CE 00 BD,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.6,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:18,Down,63,AA 09 03 03 00 50 00 06 10 CD 00 BE,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.5,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:18,Down,71,AA 09 03 03 00 50 00 06 10 CC 00 BF,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.4,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:19,Down,79,AA 09 03 03 00 50 00 06 10 CB 00 C0,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.3,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:19,Down,87,AA 09 03 03 00 50 00 06 10 CA 00 C1,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.2,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:19,Down,95,AA 09 03 03 00 50 00 06 10 C9 00 C2,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.1,0.0,True,
14_MAIN_EQ_B1_GAIN_21_TO_20,03.07.2026 22:03:19,Down,103,AA 09 03 03 00 50 00 06 10 C8 00 C3,12,EQ_WRITE,3,3.0,Main,0.0,1.0,80.0,0.6,16.0,LS,20.0,0.0,True,
13_MIC_B_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 22:02:03,Down,31,AA 09 03 01 00 C4 09 13 90 46 00 3D,12,EQ_WRITE,3,1.0,Mic B,0.0,1.0,2500.0,1.9,144.0,LS,-7.0,0.0,True,
12_MIC_A_EQ_B1_GAIN_-7.0_TO_-8.0,03.07.2026 22:00:39,Down,27,AA 09 03 00 00 C4 09 13 90 50 00 34,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2500.0,1.9,144.0,LS,-8.0,0.0,True,
11_MIC_EQ_LINK_ON_TO_OFF,03.07.2026 22:00:03,Down,15,AA 04 3C 00 00 C4 FC,7,MIC_EQ_LINK?,60,,,,,,,,,,,True,00 00 C4
10_MIC_LINK_ON_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:59:39,Down,31,AA 09 03 00 00 C4 09 13 90 46 00 3E,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2500.0,1.9,144.0,LS,-7.0,0.0,True,
MIC_A_EQ_B1_TYPE_P_TO_LS,03.07.2026 21:58:24,Down,15,AA 09 03 00 00 C4 09 13 90 46 00 3E,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2500.0,1.9,144.0,LS,-7.0,0.0,True,
MIC_A_EQ_B1_Q_2.0_TO_1.9,03.07.2026 21:57:56,Down,27,AA 09 03 00 00 C4 09 13 80 46 00 4E,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2500.0,1.9,128.0,P,-7.0,0.0,True,
MIC_A_EQ_B1_FREQ_2550_TO_2500,03.07.2026 21:57:17,Down,39,AA 09 03 00 00 C4 09 14 80 46 00 4D,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2500.0,2.0,128.0,P,-7.0,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:21,Down,35,AA 09 03 00 00 F6 09 14 80 4F 00 12,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.9,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:21,Down,47,AA 09 03 00 00 F6 09 14 80 4E 00 13,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.8,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:21,Down,55,AA 09 03 00 00 F6 09 14 80 4D 00 14,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.7,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:22,Down,67,AA 09 03 00 00 F6 09 14 80 4C 00 15,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.6,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:22,Down,75,AA 09 03 00 00 F6 09 14 80 4B 00 16,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.5,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:22,Down,87,AA 09 03 00 00 F6 09 14 80 4A 00 17,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.4,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:22,Down,95,AA 09 03 00 00 F6 09 14 80 49 00 18,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.3,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:22,Down,103,AA 09 03 00 00 F6 09 14 80 48 00 19,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.2,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:23,Down,111,AA 09 03 00 00 F6 09 14 80 47 00 1A,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.1,0.0,True,
MIC_A_EQ_B1_GAIN_-8.0_TO_-7.0,03.07.2026 21:56:23,Down,119,AA 09 03 00 00 F6 09 14 80 46 00 1B,12,EQ_WRITE,3,0.0,Mic A,0.0,1.0,2550.0,2.0,128.0,P,-7.0,0.0,True,
